time,air_temperature,swell_height,swell_period,wave_height,wave_period,wind_direction,wind_speed,place
2024-03-06 03:00:00+00:00,25.47,0.46,4.39,1.47,15.15,N,11.556000000000001,Canto das Pedras - Açu
2024-03-06 04:00:00+00:00,25.35,0.47,4.55,1.52,15.08,NW,12.132000000000001,Canto das Pedras - Açu
2024-03-06 05:00:00+00:00,25.23,0.48,4.72,1.57,15.0,W,12.708,Canto das Pedras - Açu
2024-03-06 06:00:00+00:00,25.1,0.49,4.88,1.62,14.93,SW,13.284,Canto das Pedras - Açu
2024-03-06 07:00:00+00:00,25.09,0.5,5.01,1.67,15.33,SW,12.312,Canto das Pedras - Açu
2024-03-06 08:00:00+00:00,25.07,0.5,5.13,1.73,15.74,SW,11.34,Canto das Pedras - Açu
2024-03-06 09:00:00+00:00,25.05,0.51,5.26,1.78,16.14,SW,10.368,Canto das Pedras - Açu
2024-03-06 10:00:00+00:00,26.04,0.5,5.34,1.82,16.16,SW,10.98,Canto das Pedras - Açu
2024-03-06 11:00:00+00:00,27.02,0.5,5.41,1.85,16.17,SW,11.592,Canto das Pedras - Açu
2024-03-06 12:00:00+00:00,28.01,0.49,5.49,1.89,16.19,SW,12.204,Canto das Pedras - Açu
2024-03-06 13:00:00+00:00,28.44,0.47,5.51,1.91,15.96,S,13.895999999999999,Canto das Pedras - Açu
2024-03-06 14:00:00+00:00,28.87,0.46,5.54,1.94,15.73,S,15.624,Canto das Pedras - Açu
2024-03-06 15:00:00+00:00,29.29,0.44,5.56,1.96,15.5,S,17.316,Canto das Pedras - Açu
2024-03-06 16:00:00+00:00,28.6,0.91,8.77,1.96,15.39,S,17.532,Canto das Pedras - Açu
2024-03-06 17:00:00+00:00,27.9,1.37,11.97,1.97,15.29,S,17.748,Canto das Pedras - Açu
2024-03-06 18:00:00+00:00,27.2,1.84,15.18,1.97,15.18,S,17.964000000000002,Canto das Pedras - Açu
2024-03-06 19:00:00+00:00,26.55,1.83,15.05,1.95,15.05,S,15.588000000000001,Canto das Pedras - Açu
2024-03-06 20:00:00+00:00,25.89,1.82,14.91,1.94,14.91,S,13.176,Canto das Pedras - Açu
2024-03-06 21:00:00+00:00,25.23,1.81,14.78,1.92,14.78,S,10.8,Canto das Pedras - Açu
2024-03-06 22:00:00+00:00,25.26,1.78,14.67,1.89,14.67,SW,10.332,Canto das Pedras - Açu
2024-03-06 23:00:00+00:00,25.29,1.74,14.56,1.86,14.56,SW,9.9,Canto das Pedras - Açu
2024-03-07 00:00:00+00:00,25.32,1.71,14.45,1.83,14.45,SW,9.432,Canto das Pedras - Açu
2024-03-07 01:00:00+00:00,25.08,1.67,14.38,1.79,14.38,SW,10.008,Canto das Pedras - Açu
2024-03-07 02:00:00+00:00,24.84,1.63,14.32,1.75,14.32,W,10.548,Canto das Pedras - Açu
2024-03-06 03:00:00+00:00,25.71,1.79,15.15,1.93,15.06,W,14.04,Praia de Itaúna - Saquarema
2024-03-06 04:00:00+00:00,25.59,1.85,15.53,1.99,15.47,W,16.884,Praia de Itaúna - Saquarema
2024-03-06 05:00:00+00:00,25.46,1.92,15.91,2.04,15.87,W,19.728,Praia de Itaúna - Saquarema
2024-03-06 06:00:00+00:00,25.33,1.98,16.29,2.1,16.28,W,22.572,Praia de Itaúna - Saquarema
2024-03-06 07:00:00+00:00,25.21,2.02,16.28,2.14,16.27,W,20.232,Praia de Itaúna - Saquarema
2024-03-06 08:00:00+00:00,25.09,2.07,16.26,2.17,16.25,W,17.892,Praia de Itaúna - Saquarema
2024-03-06 09:00:00+00:00,24.97,2.11,16.25,2.21,16.24,W,15.552000000000001,Praia de Itaúna - Saquarema
2024-03-06 10:00:00+00:00,25.13,2.13,16.02,2.23,16.01,W,14.616,Praia de Itaúna - Saquarema
2024-03-06 11:00:00+00:00,25.29,2.16,15.79,2.26,15.78,SW,13.716000000000001,Praia de Itaúna - Saquarema
2024-03-06 12:00:00+00:00,25.45,2.18,15.56,2.28,15.55,SW,12.78,Praia de Itaúna - Saquarema
2024-03-06 13:00:00+00:00,25.64,2.18,15.43,2.28,15.42,SW,14.076,Praia de Itaúna - Saquarema
2024-03-06 14:00:00+00:00,25.83,2.19,15.31,2.28,15.3,SW,15.408000000000001,Praia de Itaúna - Saquarema
2024-03-06 15:00:00+00:00,26.01,2.19,15.18,2.28,15.17,SW,16.704,Praia de Itaúna - Saquarema
2024-03-06 16:00:00+00:00,26.11,2.17,15.03,2.26,15.01,SW,15.768,Praia de Itaúna - Saquarema
2024-03-06 17:00:00+00:00,26.2,2.15,14.87,2.24,14.86,SW,14.868,Praia de Itaúna - Saquarema
2024-03-06 18:00:00+00:00,26.29,2.13,14.72,2.22,14.7,S,13.932,Praia de Itaúna - Saquarema
2024-03-06 19:00:00+00:00,26.15,2.1,14.61,2.19,14.59,S,12.06,Praia de Itaúna - Saquarema
2024-03-06 20:00:00+00:00,26.01,2.06,14.5,2.15,14.49,S,10.224,Praia de Itaúna - Saquarema
2024-03-06 21:00:00+00:00,25.87,2.03,14.39,2.12,14.38,S,8.352,Praia de Itaúna - Saquarema
2024-03-06 22:00:00+00:00,25.66,1.99,14.31,2.08,14.3,S,7.956,Praia de Itaúna - Saquarema
2024-03-06 23:00:00+00:00,25.44,1.95,14.23,2.04,14.22,SE,7.524,Praia de Itaúna - Saquarema
2024-03-07 00:00:00+00:00,25.23,1.91,14.15,2.0,14.14,SE,7.128,Praia de Itaúna - Saquarema
2024-03-07 01:00:00+00:00,25.19,1.88,13.97,1.97,13.95,SE,7.812,Praia de Itaúna - Saquarema
2024-03-07 02:00:00+00:00,25.15,1.85,13.78,1.94,13.77,SE,8.532,Praia de Itaúna - Saquarema
2024-03-06 03:00:00+00:00,26.75,0.37,4.63,0.7,15.49,N,6.048,Praia de Grussaí - São João da Barra
2024-03-06 04:00:00+00:00,26.73,0.37,4.77,0.72,15.43,NW,8.604000000000001,Praia de Grussaí - São João da Barra
2024-03-06 05:00:00+00:00,26.7,0.36,4.9,0.74,15.38,W,11.16,Praia de Grussaí - São João da Barra
2024-03-06 06:00:00+00:00,26.67,0.36,5.04,0.76,15.32,SW,13.716000000000001,Praia de Grussaí - São João da Barra
2024-03-06 07:00:00+00:00,26.3,0.48,8.51,0.78,15.37,SW,13.644,Praia de Grussaí - São João da Barra
2024-03-06 08:00:00+00:00,25.93,0.61,11.99,0.79,15.41,SW,13.607999999999999,Praia de Grussaí - São João da Barra
2024-03-06 09:00:00+00:00,25.55,0.73,15.46,0.81,15.46,S,13.536,Praia de Grussaí - São João da Barra
2024-03-06 10:00:00+00:00,25.79,0.75,15.77,0.83,15.77,S,11.735999999999999,Praia de Grussaí - São João da Barra
2024-03-06 11:00:00+00:00,26.02,0.77,16.08,0.84,16.08,S,9.936,Praia de Grussaí - São João da Barra
2024-03-06 12:00:00+00:00,26.26,0.79,16.39,0.86,16.39,S,8.136,Praia de Grussaí - São João da Barra
2024-03-06 13:00:00+00:00,26.43,0.8,16.32,0.87,16.32,S,8.604000000000001,Praia de Grussaí - São João da Barra
2024-03-06 14:00:00+00:00,26.59,0.82,16.24,0.88,16.24,S,9.107999999999999,Praia de Grussaí - São João da Barra
2024-03-06 15:00:00+00:00,26.75,0.83,16.17,0.89,16.17,SE,9.576,Praia de Grussaí - São João da Barra
