time,air_temperature,swell_height,swell_period,wave_height,wave_period,wind_direction,wind_speed,place
2024-03-06 16:00:00+00:00,26.61,0.83,15.99,0.9,15.94,SE,13.284,Praia de Grussaí - São João da Barra
2024-03-06 17:00:00+00:00,26.47,0.84,15.81,0.9,15.7,SE,16.956,Praia de Grussaí - São João da Barra
2024-03-06 18:00:00+00:00,26.32,0.84,15.63,0.91,15.47,SE,20.664,Praia de Grussaí - São João da Barra
2024-03-06 19:00:00+00:00,26.21,0.84,15.47,0.91,15.36,SE,18.864,Praia de Grussaí - São João da Barra
2024-03-06 20:00:00+00:00,26.1,0.85,15.31,0.91,15.26,S,17.1,Praia de Grussaí - São João da Barra
2024-03-06 21:00:00+00:00,25.98,0.85,15.15,0.91,15.15,S,15.3,Praia de Grussaí - São João da Barra
2024-03-06 22:00:00+00:00,25.59,0.84,15.0,0.89,15.0,S,14.508000000000001,Praia de Grussaí - São João da Barra
2024-03-06 23:00:00+00:00,25.19,0.83,14.86,0.88,14.86,SW,13.751999999999999,Praia de Grussaí - São João da Barra
2024-03-07 00:00:00+00:00,24.79,0.82,14.71,0.86,14.71,SW,12.96,Praia de Grussaí - São João da Barra
2024-03-07 01:00:00+00:00,24.69,0.8,14.61,0.84,14.61,SW,13.176,Praia de Grussaí - São João da Barra
2024-03-07 02:00:00+00:00,24.6,0.79,14.51,0.83,14.51,W,13.356,Praia de Grussaí - São João da Barra
2024-03-06 03:00:00+00:00,26.08,1.67,16.07,1.94,16.06,W,18.756,Praia de Geribá - Búzios
2024-03-06 04:00:00+00:00,25.96,1.26,12.23,1.99,16.34,W,20.952,Praia de Geribá - Búzios
2024-03-06 05:00:00+00:00,25.84,0.85,8.38,2.05,16.61,W,23.184,Praia de Geribá - Búzios
2024-03-06 06:00:00+00:00,25.72,0.44,4.54,2.1,16.89,W,25.38,Praia de Geribá - Búzios
2024-03-06 07:00:00+00:00,25.57,0.97,8.57,2.15,16.8,W,23.256,Praia de Geribá - Búzios
2024-03-06 08:00:00+00:00,25.42,1.51,12.59,2.19,16.71,SW,21.096,Praia de Geribá - Búzios
2024-03-06 09:00:00+00:00,25.27,2.04,16.62,2.24,16.62,SW,18.971999999999998,Praia de Geribá - Búzios
2024-03-06 10:00:00+00:00,25.32,2.08,16.48,2.26,16.48,SW,18.720000000000002,Praia de Geribá - Búzios
2024-03-06 11:00:00+00:00,25.36,2.11,16.35,2.29,16.34,SW,18.503999999999998,Praia de Geribá - Búzios
2024-03-06 12:00:00+00:00,25.4,2.15,16.21,2.31,16.2,SW,18.252000000000002,Praia de Geribá - Búzios
2024-03-06 13:00:00+00:00,25.56,1.57,12.63,2.31,15.98,SW,17.1,Praia de Geribá - Búzios
2024-03-06 14:00:00+00:00,25.72,1.0,9.06,2.31,15.75,SW,15.912,Praia de Geribá - Búzios
2024-03-06 15:00:00+00:00,25.88,0.42,5.48,2.31,15.53,SW,14.76,Praia de Geribá - Búzios
2024-03-06 16:00:00+00:00,25.98,0.43,5.54,2.29,15.42,SW,15.156,Praia de Geribá - Búzios
2024-03-06 17:00:00+00:00,26.08,0.43,5.6,2.27,15.3,SW,15.552000000000001,Praia de Geribá - Búzios
2024-03-06 18:00:00+00:00,26.17,0.44,5.66,2.25,15.19,SW,15.947999999999999,Praia de Geribá - Búzios
2024-03-06 19:00:00+00:00,26.12,0.43,5.69,2.21,15.03,S,15.048,Praia de Geribá - Búzios
2024-03-06 20:00:00+00:00,26.07,0.42,5.72,2.16,14.86,S,14.148000000000001,Praia de Geribá - Búzios
2024-03-06 21:00:00+00:00,26.02,0.41,5.75,2.12,14.7,S,13.248000000000001,Praia de Geribá - Búzios
2024-03-06 22:00:00+00:00,25.96,0.4,5.79,2.07,14.59,S,12.96,Praia de Geribá - Búzios
2024-03-06 23:00:00+00:00,25.9,0.38,5.82,2.02,14.47,S,12.672,Praia de Geribá - Búzios
2024-03-07 00:00:00+00:00,25.84,0.37,5.86,1.97,14.36,SE,12.384,Praia de Geribá - Búzios
2024-03-07 01:00:00+00:00,25.75,0.36,5.87,1.92,14.26,SE,11.304,Praia de Geribá - Búzios
2024-03-07 02:00:00+00:00,25.66,0.35,5.88,1.87,14.17,SE,10.26,Praia de Geribá - Búzios
2024-03-06 03:00:00+00:00,25.71,1.79,15.15,1.93,15.06,W,14.04,Praia de Joaquina - Florianópolis
2024-03-06 04:00:00+00:00,25.59,1.85,15.53,1.99,15.47,W,16.884,Praia de Joaquina - Florianópolis
2024-03-06 05:00:00+00:00,25.46,1.92,15.91,2.04,15.87,W,19.728,Praia de Joaquina - Florianópolis
2024-03-06 06:00:00+00:00,25.33,1.98,16.29,2.1,16.28,W,22.572,Praia de Joaquina - Florianópolis
2024-03-06 07:00:00+00:00,25.21,2.02,16.28,2.14,16.27,W,20.232,Praia de Joaquina - Florianópolis
2024-03-06 08:00:00+00:00,25.09,2.07,16.26,2.17,16.25,W,17.892,Praia de Joaquina - Florianópolis
2024-03-06 09:00:00+00:00,24.97,2.11,16.25,2.21,16.24,W,15.552000000000001,Praia de Joaquina - Florianópolis
2024-03-06 10:00:00+00:00,25.13,2.13,16.02,2.23,16.01,W,14.616,Praia de Joaquina - Florianópolis
2024-03-06 11:00:00+00:00,25.29,2.16,15.79,2.26,15.78,SW,13.716000000000001,Praia de Joaquina - Florianópolis
2024-03-06 12:00:00+00:00,25.45,2.18,15.56,2.28,15.55,SW,12.78,Praia de Joaquina - Florianópolis
2024-03-06 13:00:00+00:00,25.64,2.18,15.43,2.28,15.42,SW,14.076,Praia de Joaquina - Florianópolis
2024-03-06 14:00:00+00:00,25.83,2.19,15.31,2.28,15.3,SW,15.408000000000001,Praia de Joaquina - Florianópolis
2024-03-06 15:00:00+00:00,26.01,2.19,15.18,2.28,15.17,SW,16.704,Praia de Joaquina - Florianópolis
2024-03-06 16:00:00+00:00,26.11,2.17,15.03,2.26,15.01,SW,15.768,Praia de Joaquina - Florianópolis
2024-03-06 17:00:00+00:00,26.2,2.15,14.87,2.24,14.86,SW,14.868,Praia de Joaquina - Florianópolis
2024-03-06 18:00:00+00:00,26.29,2.13,14.72,2.22,14.7,S,13.932,Praia de Joaquina - Florianópolis
2024-03-06 19:00:00+00:00,26.15,2.1,14.61,2.19,14.59,S,12.06,Praia de Joaquina - Florianópolis
2024-03-06 20:00:00+00:00,26.01,2.06,14.5,2.15,14.49,S,10.224,Praia de Joaquina - Florianópolis
2024-03-06 21:00:00+00:00,25.87,2.03,14.39,2.12,14.38,S,8.352,Praia de Joaquina - Florianópolis
2024-03-06 22:00:00+00:00,25.66,1.99,14.31,2.08,14.3,S,7.956,Praia de Joaquina - Florianópolis
2024-03-06 23:00:00+00:00,25.44,1.95,14.23,2.04,14.22,SE,7.524,Praia de Joaquina - Florianópolis
2024-03-07 00:00:00+00:00,25.23,1.91,14.15,2.0,14.14,SE,7.128,Praia de Joaquina - Florianópolis
2024-03-07 01:00:00+00:00,25.19,1.88,13.97,1.97,13.95,SE,7.812,Praia de Joaquina - Florianópolis
2024-03-07 02:00:00+00:00,25.15,1.85,13.78,1.94,13.77,SE,8.532,Praia de Joaquina - Florianópolis
